t_amount,balance,l_amount,duration,payments,status
44749.0,45549.0,79608,24,3317.0,A
1000.0,1000.0,52788,12,4399.0,A
1100.0,1100.0,21924,36,609.0,A
700.0,700.0,23052,12,1921.0,A
900.0,900.0,41904,12,3492.0,A
900.0,900.0,65184,12,5432.0,A
1100.0,1100.0,76908,12,6409.0,B
19961.0,21061.0,76908,12,6409.0,B
1000.0,1000.0,105804,36,2939.0,A
17.0,21078.0,76908,12,6409.0,B
5282.0,6182.0,41904,12,3492.0,A
110.2,45659.2,79608,24,3317.0,A
0.8,6182.8,41904,12,3492.0,A
300.0,300.0,39576,12,3298.0,A
7618.0,8618.0,52788,12,4399.0,A
200.0,200.0,208320,48,4340.0,A
14493.0,15593.0,21924,36,609.0,A
600.0,600.0,51696,24,2154.0,A
700.0,700.0,83016,12,6918.0,A
800.0,800.0,127080,60,2118.0,A
1100.0,1100.0,24312,12,2026.0,A
12154.0,13254.0,24312,12,2026.0,A
19588.0,20188.0,51696,24,2154.0,A
27078.0,47266.0,51696,24,2154.0,A
32594.0,33494.0,65184,12,5432.0,A
13875.0,14575.0,23052,12,1921.0,A
700.0,700.0,165960,36,4610.0,A
9800.0,18418.0,52788,12,4399.0,A
44749.0,80808.2,79608,24,3317.0,A
4200.0,19793.0,21924,36,609.0,A
24023.0,24723.0,83016,12,6918.0,A
6600.0,21175.0,23052,12,1921.0,A
33410.0,58133.0,83016,12,6918.0,A
700.0,700.0,143904,24,5996.0,A
7100.0,13282.8,41904,12,3492.0,A
28361.0,28661.0,39576,12,3298.0,A
4500.0,28994.0,65184,12,5432.0,A
8900.0,36168.0,76908,12,6409.0,B
23990.0,45068.0,76908,12,6409.0,B
1100.0,1100.0,80952,24,3373.0,A
1100.0,1100.0,80952,24,3373.0,A
200.0,200.0,24516,12,2043.0,A
21.6,29015.6,65184,12,5432.0,A
102.0,36270.0,76908,12,6409.0,B
21.3,28707.9,39576,12,3298.0,A
38.3,19831.3,21924,36,609.0,A
34.7,21209.7,23052,12,1921.0,A
2.9,702.9,165960,36,4610.0,A
35.5,13289.5,24312,12,2026.0,A
18972.0,19674.9,165960,36,4610.0,A
44455.0,45161.7,143904,24,5996.0,A
268.5,81076.7,79608,24,3317.0,A
90.2,58223.2,83016,12,6918.0,A
6.7,706.7,143904,24,5996.0,A
119.6,47385.6,51696,24,2154.0,A
25.8,13308.6,41904,12,3492.0,A
25.6,28686.6,39576,12,3298.0,A
43.9,18461.8,52788,12,4399.0,A
3900.0,22532.0,105804,36,2939.0,A
8813.0,53974.7,143904,24,5996.0,A
37305.0,66012.9,39576,12,3298.0,A
26040.0,26240.0,208320,48,4340.0,A
300.0,300.0,212400,36,5900.0,A
7618.0,26079.8,52788,12,4399.0,A
19000.0,47012.9,39576,12,3298.0,A
17632.0,40164.0,105804,36,2939.0,A
12710.0,13510.0,127080,60,2118.0,A
700.0,25540.0,208320,48,4340.0,A
12000.0,35385.6,51696,24,2154.0,A
14900.0,43323.2,83016,12,6918.0,A
17585.0,18285.0,91632,12,7636.0,A
12154.0,25443.5,24312,12,2026.0,A
32594.0,61609.6,65184,12,5432.0,A
1000.0,1000.0,23628,12,1969.0,A
20236.0,21336.0,80952,24,3373.0,A
13875.0,35084.7,23052,12,1921.0,A
42244.0,42844.0,274740,60,4579.0,A
1100.0,20206.0,76416,24,3184.0,A
44749.0,125826.0,79608,24,3317.0,A
25300.0,48825.7,79608,24,3317.0,A
200.0,200.0,95400,36,2650.0,A
3700.0,23374.9,165960,36,4610.0,A
800.0,25279.8,52788,12,4399.0,A
36130.0,71515.6,51696,24,2154.0,A
7000.0,35844.0,274740,60,4579.0,A
8368.0,31742.9,165960,36,4610.0,A
16549.0,29857.6,41904,12,3492.0,A
7824.0,79339.6,51696,24,2154.0,A
4800.0,29524.3,21924,36,609.0,A
200.0,200.0,55368,24,2307.0,A
200.0,200.0,464520,60,7742.0,B
1100.0,1100.0,69360,48,1445.0,A
500.0,500.0,111384,24,4641.0,A
36574.0,68316.9,165960,36,4610.0,A
6700.0,28384.7,23052,12,1921.0,A
12801.0,13101.0,212400,36,5900.0,A
300.0,300.0,174744,24,7281.0,B
1100.0,1100.0,96396,12,8033.0,B
16400.0,37574.7,143904,24,5996.0,A
39703.0,52804.0,212400,36,5900.0,A
43050.0,86373.2,83016,12,6918.0,A
200.0,200.0,224604,36,6239.0,A
18790.0,56364.7,143904,24,5996.0,A
38820.0,39020.0,24516,12,2043.0,A
30360.0,30860.0,111384,24,4641.0,A
7651.0,7951.0,174744,24,7281.0,B
1300.0,28557.6,41904,12,3492.0,A
23851.0,24051.0,464520,60,7742.0,B
20200.0,41409.6,65184,12,5432.0,A
29082.0,29282.0,95400,36,2650.0,A
34681.0,42632.0,174744,24,7281.0,B
21847.0,45898.0,464520,60,7742.0,B
600.0,600.0,120888,36,3358.0,A
27700.0,50797.0,76908,12,6409.0,B
15436.0,61334.0,464520,60,7742.0,B
3700.0,25036.0,80952,24,3373.0,A
3700.0,25036.0,80952,24,3373.0,A
7707.0,60511.0,212400,36,5900.0,A
600.0,600.0,7656,24,319.0,A
7900.0,31120.0,24516,12,2043.0,A
700.0,700.0,36684,12,3057.0,A
133.8,40297.8,105804,36,2939.0,A
54.1,18339.1,91632,12,7636.0,A
23.6,29305.6,95400,36,2650.0,A
71.5,60582.5,212400,36,5900.0,A
130.8,41540.4,65184,12,5432.0,A
11726.0,12726.0,23628,12,1969.0,A
191.6,50988.6,76908,12,6409.0,B
42.4,61376.4,464520,60,7742.0,B
48.8,20254.8,76416,24,3184.0,A
23.0,28627.4,41904,12,3492.0,A
157.9,47354.3,39576,12,3298.0,A
100.8,29625.1,21924,36,609.0,A
99.9,28484.5,23052,12,1921.0,A
1.7,12727.7,23628,12,1969.0,A
8600.0,31697.8,105804,36,2939.0,A
166.9,68483.8,165960,36,4610.0,A
48.6,17258.6,127080,60,2118.0,A
79.0,25619.0,208320,48,4340.0,A
