Categoría: Todas las categorías

Semana,Ron: (España),Ginebra: (España),Vodka: (España),Vermú: (España),Whisky: (España)
2017-06-04,34,42,14,14,18
2017-06-11,37,44,16,13,18
2017-06-18,44,48,17,13,22
2017-06-25,33,44,15,11,20
2017-07-02,36,47,14,14,18
2017-07-09,40,53,17,13,24
2017-07-16,39,53,20,12,24
2017-07-23,40,60,20,15,23
2017-07-30,40,98,20,13,22
2017-08-06,45,75,21,14,24
2017-08-13,40,66,20,16,26
2017-08-20,42,60,18,14,28
2017-08-27,34,53,18,12,29
2017-09-03,37,47,16,14,23
2017-09-10,31,47,16,13,24
2017-09-17,25,48,15,12,21
2017-09-24,32,42,13,12,19
2017-10-01,30,35,12,10,20
2017-10-08,31,44,13,13,22
2017-10-15,27,35,9,11,17
2017-10-22,26,38,11,13,22
2017-10-29,29,41,13,14,24
2017-11-05,29,40,8,13,21
2017-11-12,31,38,11,16,25
2017-11-19,29,43,10,14,24
2017-11-26,28,42,10,14,26
2017-12-03,35,56,12,18,28
2017-12-10,34,60,13,13,33
2017-12-17,41,70,16,16,42
2017-12-24,53,100,21,20,54
2017-12-31,43,68,17,14,41
2018-01-07,27,35,11,10,23
2018-01-14,27,37,9,11,20
2018-01-21,31,38,9,15,21
2018-01-28,27,34,11,14,21
2018-02-04,32,34,12,11,23
2018-02-11,31,40,12,15,23
2018-02-18,25,39,12,13,20
2018-02-25,25,38,11,13,20
2018-03-04,26,41,12,16,21
2018-03-11,28,41,13,13,23
2018-03-18,30,39,12,15,22
2018-03-25,33,47,14,19,23
2018-04-01,28,38,12,16,20
2018-04-08,28,40,10,15,20
2018-04-15,29,38,11,16,23
2018-04-22,27,36,12,19,20
2018-04-29,29,42,12,18,23
2018-05-06,27,41,14,17,20
2018-05-13,33,40,13,17,25
2018-05-20,31,42,13,17,21
2018-05-27,31,43,12,14,24
2018-06-03,36,44,14,15,24
2018-06-10,32,47,14,17,25
2018-06-17,35,47,19,12,22
2018-06-24,31,40,17,13,19
2018-07-01,31,47,17,15,29
2018-07-08,36,48,18,16,23
2018-07-15,36,52,17,13,27
2018-07-22,41,51,22,16,27
2018-07-29,37,50,22,14,25
2018-08-05,42,58,23,17,28
2018-08-12,41,64,25,19,29
2018-08-19,41,64,22,16,30
2018-08-26,35,54,20,15,27
2018-09-02,35,50,18,15,26
2018-09-09,32,46,16,16,23
2018-09-16,32,43,13,16,26
2018-09-23,29,40,14,13,24
2018-09-30,29,43,15,14,27
2018-10-07,30,51,15,16,27
2018-10-14,29,41,12,15,26
2018-10-21,29,44,12,15,25
2018-10-28,36,45,15,15,29
2018-11-04,34,38,12,15,24
2018-11-11,33,37,11,11,27
2018-11-18,33,39,10,15,28
2018-11-25,36,40,11,16,29
2018-12-02,38,45,12,19,34
2018-12-09,38,51,16,16,36
2018-12-16,44,65,15,19,52
2018-12-23,58,94,21,23,70
2018-12-30,49,79,22,23,51
2019-01-06,35,38,12,14,29
2019-01-13,30,34,10,13,26
2019-01-20,25,33,11,12,23
2019-01-27,46,26,12,12,25
2019-02-03,35,28,11,14,26
2019-02-10,33,23,11,16,21
2019-02-17,36,26,13,17,23
2019-02-24,36,26,15,18,31
2019-03-03,34,29,12,18,24
2019-03-10,33,31,11,16,24
2019-03-17,36,30,13,19,28
2019-03-24,33,30,13,15,25
2019-03-31,32,36,10,14,24
2019-04-07,31,41,12,20,22
2019-04-14,39,43,14,20,27
2019-04-21,35,41,13,15,23
2019-04-28,30,42,13,18,25
2019-05-05,34,37,15,15,24
2019-05-12,34,41,14,19,25
2019-05-19,33,39,13,18,23
2019-05-26,30,39,11,13,23
2019-06-02,31,44,13,17,22
2019-06-09,31,42,15,16,22
2019-06-16,33,46,19,15,32
2019-06-23,39,49,20,16,26
2019-06-30,35,46,15,14,23
2019-07-07,36,47,18,15,28
2019-07-14,40,50,17,17,28
2019-07-21,39,56,22,16,26
2019-07-28,46,56,22,18,27
2019-08-04,43,57,25,20,31
2019-08-11,43,61,24,22,33
2019-08-18,41,54,22,19,29
2019-08-25,40,52,18,17,33
2019-09-01,34,43,19,15,27
2019-09-08,34,41,17,16,27
2019-09-15,31,40,14,16,24
2019-09-22,34,40,14,17,25
2019-09-29,28,37,15,14,24
2019-10-06,34,40,14,15,25
2019-10-13,32,33,11,14,22
