Month,Covid
Jan-20,3.61
Feb-20,16.21862069
Mar-20,43.18548387
Apr-20,65.46766667
May-20,61.20419355
Jun-20,60.37533333
Jul-20,59.13290323
Aug-20,59.86096774
Sep-20,55.07533333
Oct-20,58.11225806
Nov-20,59.416
Dec-20,66.8383871
Jan-21,71.28645161
Feb-21,70.66785714
Mar-21,69.72354839
Apr-21,71.55
May-21,72.58645161
Jun-21,72.83833333
Jul-21,73.21
Aug-21,68.16516129
Sep-21,66.07
Oct-21,56.91064516
Nov-21,65.05966667
Dec-21,70.83
Jan-22,68.83516129
Feb-22,63.1
Mar-22,63.1
Apr-22,53.01533333
May-22,44.092
